region,population,area,density
Győr-Moson-Sopron,467144,4208,111
Komárom-Esztergom,299207,2264,132
Budapest,1752286,525,3337
Pest,1278874,6390,200
Nógrád,189304,2544,74
Heves,294609,3637,80
Borsod-Abaúj-Zemplén,642447,7247,88
Szabolcs-Szatmár-Bereg,552964,5933,93
Vas,253551,3336,76
Veszprém,341317,4463,76
Fejér,417712,4358,95
Jász-Nagykun-Szolnok,370007,5581,66
Hajdú-Bihar,527989,6209,85
Zala,268648,3784,71
Somogy,301429,6065,49
Tolna,217463,3703,58
Baranya,360704,4430,81
Bács-Kiskun,503825,8443,59
Csongrád,399012,4262,93
Békés,334264,5630,59
